name,Background,Hat,Hair,Glove,Sunglasses,UpperClothes,Dress,Coat,Socks,Pants,Jumpsuits,Scarf,Skirt,Face,Left-arm,Right-arm,Left-leg,Right-leg,Left-shoe,Right-shoe
100798_2205315,0.9026279591688988,,0.8119100737944054,,,0.7453047376711499,,,,,,,,0.6293408929836996,0.5987394957983193,0.2642649362273439,0.0,0.0,,
100909_1208726,0.9175319940663264,0.7976993865030675,,0.37564162389174055,0.0,0.9334167830147803,,,,0.8741408934707904,,,,0.03977272727272727,0.0,0.1854406130268199,,,0.6031485733027222,
100958_427612,0.8079834265364981,,0.7003416300634456,,,0.8303980274744628,,,,0.3233004309745586,,,,0.006220839813374806,0.6070889894419306,0.6166666666666667,,,0.05315947843530592,0.12782663316582915
100985_570554,0.12494106553512493,,,,,,,,,,,,,,,,,,,
101070_472538,0.7104300578855783,0.7341944255608429,,0.0,,0.7033739456419869,,,,0.46387636831938184,,,,0.7522292993630574,0.04586129753914989,0.22121486854034453,0.5622317596566524,0.1934846989141165,0.5272547076313181,0.22020933977455717
101211_480925,0.7749347400478573,,0.754907459338194,,,0.833263830970253,,,,,,,,0.6358924522189828,0.001517721631997143,0.0,,,,
10123_2152925,0.9587817887417849,,0.7842672980794527,,,0.9340473506200676,,,,,,,0.16111067534708604,0.8940814757878555,0.7613317949563211,0.6289262235208181,0.8819907644946127,0.8546566321730951,,
101354_2152170,0.9335119299399978,,0.8427947598253275,,,0.9106984969053935,,,,0.8527399491757347,,,,0.7669039145907474,0.7250733137829912,0.8539440203562341,0.02857142857142857,,0.5369369369369369,0.425531914893617
101369_553747,0.7371270090553681,,0.6277568585260893,,,0.856029450782701,,,,,,,,0.8215269086357947,0.47580645161290325,0.6791666666666667,0.0,0.0,,
10142_469874,0.9287161864481452,0.8139059304703476,,0.7768860353130016,,,,0.9136352388022767,,0.9317117389333737,,,,0.8045977011494253,,,,,0.15718562874251496,0.0
101552_484020,0.7804648029639609,,0.7302498311951384,,,,,0.7996830584856138,,,,,,,,0.2539912917271408,,,,
