name,Background,Hat,Hair,Glove,Sunglasses,UpperClothes,Dress,Coat,Socks,Pants,Jumpsuits,Scarf,Skirt,Face,Left-arm,Right-arm,Left-leg,Right-leg,Left-shoe,Right-shoe
101070_472538,0.8268054375531011,0.9916949872557349,,0.9704757858963466,,0.9462192013593883,,,,0.9115760407816482,,,,0.9917374681393373,0.9818819031435854,0.9817544604927783,0.9848343245539507,0.9652931180968564,0.9797366185216653,0.958857264231096
101211_480925,0.871086814316419,,0.9965968912562689,,,0.943953836090085,,,,,,,,0.9737407718904775,0.9129053359499112,0.9044559698470548,,,,
10123_2152925,0.9753900835258574,,0.9941709614359339,,,0.9891878443220188,,,,,,,0.9239736982406256,0.9951021858894615,0.989706770925893,0.9927776790474498,0.9967300515372312,0.9978034476630532,,
101354_2152170,0.9568326298123379,,0.9945074505416264,,,0.987672277882317,,,,0.9770126633779179,,,,0.9973350963739002,0.9961857295427962,0.9970808116767533,0.9986166912475207,,0.9947719066266592,0.9890149010832529
101369_553747,0.8968938401048493,,0.9909305373525557,,,0.9431061598951507,,,,,,,,0.9906553079947575,0.9863695937090432,0.9798165137614679,0.8979816513761468,0.9421887287024902,,
10142_469874,0.9651593453919035,0.9960809646856158,,0.9940137812230836,,,,0.9849698535745047,,0.9805340223944875,,,,0.9970714900947459,,,,,0.9757536606373816,0.9725667527993109
101552_484020,0.9067044543684873,,0.977126989579755,,,,,0.8842035955570823,,,,,,,,0.9705713958548036,,,,
101575_1253774,0.6888650196920874,,0.9943609022556391,,,,,0.7739885427855353,,,,,,0.990422484783387,,,,0.8204439670605084,,
10176_451458,0.8452966796764523,,0.9949657786073873,,,,,0.7430850161208213,,0.894224786469823,,,,0.9869902143786413,0.9154363934611686,,,,,
101820_436403,0.9743703703703703,,0.9958888888888889,,,0.9930493827160494,,,,,,,0.9767530864197531,0.9980864197530864,0.9921975308641975,0.9830864197530864,0.9955185185185185,0.9959382716049383,0.9864938271604938,0.9813950617283951
101842_523209,0.9400351793614413,,0.9966952721070306,,,0.9609828900378444,,,0.9908853472629391,0.9885933585629764,,,,0.9973348968605085,,0.9949363040349661,0.9902457225094611,0.9876339214327594,0.9913117637652578,0.9869942966792815
101877_480032,0.9394355644355644,,0.9935064935064936,,,0.555044955044955,,,,,,,,0.9949300699300699,0.9857642357642358,0.9953296703296703,,,,
101960_1739095,0.9440724206349206,0.9910714285714286,0.9817708333333334,,,0.9419642857142857,,,,,,,,0.9780505952380952,0.9623842592592593,0.9711888227513228,0.9435763888888888,0.9516782407407407,0.9836722883597884,0.9761904761904762
101978_438710,0.9773006973882128,,0.9902502392998769,,,,,0.6715233146451525,,0.9920552440858744,,,,0.9936141118555997,0.961739368248325,0.9702447695884042,,,,
102030_228282,0.8978023478023478,0.894990444990445,0.8983346983346984,,,,,0.841946491946492,,0.9088042588042589,,,,,0.9286104286104286,0.9214305214305214,,,0.9866639366639367,0.9914277914277915
102076_513685,0.9577943195779431,,0.9590229095902291,,,0.8668063886680639,,,,0.9948326949483269,,,,0.9766567897665679,0.9555539495555395,,0.979764399797644,0.9884006648840067,,
102090_218913,0.9641861275705821,,0.993290345067968,,,0.7868246775880098,,0.7912164517253398,,0.9831474381317532,,,,0.9884280237016382,0.9982920878354827,0.9961659114674103,,,0.9956256535378181,0.9956430812129662
102116_421687,0.962474571345539,0.9971483580354548,,,,0.9897013949433304,,,,0.988938535309503,,,,0.9990373437954083,0.993315896541703,0.9966579482708515,0.9956589654170299,0.9903007846556233,0.9967487648939262,0.9898103748910201
